"cases","defennm","NewOrgname","NewUltorg"
"{05-2004-0547}","W.R. GRACE AND CO.","WR Grace & Co",
"{04-2003-9026}","W.R. GRACE & CO. ET AL","WR Grace & Co",
"{02-2001-2035}","W.R. GRACE & CO.","WR Grace & Co",
"{08-2001-0055,08-2007-0169,02-2008-0026}","W.R. Grace","WR Grace & Co",
"{04-2001-9015}","W.R. GRACE","WR Grace & Co",
"{03-2004-0087}","W.L. GORE & ASSOCIATES, INC","W L Gore & Associates",
"{03-2004-0411}","W.L. GORE & ASSOCIATES","W L Gore & Associates",
"{09-2008-2529}","W. R. Grace","WR Grace & Co",
"{01-2002-0136}","W R GRACE","WR Grace & Co",
"{02-2009-2006,02-2007-2009}","Vulcan Materials Company","Vulcan Materials",
"{02-2007-2009,02-2009-2006}","Vulcan Materials Company","Vulcan Materials",
"{02-2004-2011}","Vulcan Materials Co.","Vulcan Materials",
"{02-2004-2011}","Vulcan Materials Co.","Vulcan Materials",
"{04-2004-9006}","VOLVO WHITE TRUCK CORPORATION","Volvo Trucks North America","Volvo Group North America"
"{09-2006-0081}","Volkswagen of North America","Volkswagen Group of America","Volkswagen AG"
"{EF-2004-3011}","Volkswagen of America, Inc.","Volkswagen Group of America","Volkswagen AG"
"{04-2003-3504}","VICKERS, INC. nka EATON AEROSPACE LLC","Eaton Aerospace","Eaton Corp"
"{09-2004-0357,02-2005-0025}","Viad Corporation","Viad Corp",
"{04-2002-3753}","Viad Corp. (Transportation Leasing Co.)","Viad Corp",
"{02-2006-0028}","Viad Corp","Viad Corp",
"{04-2003-9004}","VIACOM, INC. dba TALLAHASSEE MALL ASSOCIATES, LTD.","Viacom Inc","National Amusements Inc"
"{09-2009-2508}","Viacom, Inc.","Viacom Inc","National Amusements Inc"
"{03-2001-0427}","VIACOM, INC","Viacom Inc","National Amusements Inc"
"{02-2004-2011}","Viacom Inc. nka CBS Corp","Viacom Inc","National Amusements Inc"
"{09-2006-0081}","Viacom Inc.","Viacom Inc","National Amusements Inc"
"{02-2004-0006}","VIACOM Inc.","Viacom Inc","National Amusements Inc"
"{04-2001-9015,05-2005-0626}","VIACOM INC.","Viacom Inc","National Amusements Inc"
"{03-2003-0179}","Viacom Inc","Viacom Inc","National Amusements Inc"
"{01-2005-5003}","VETERANS ADMINISTRATION REGIONAL CENTER","US Dept of Veterans Affairs",
"{04-2004-9006,03-2001-0427}","VETERANS ADMINISTRATION MEDICAL CENTER","US Dept of Veterans Affairs",
"{04-2004-9006}","VETERANS ADMINISTRATION HOSPITAL","US Dept of Veterans Affairs",
"{01-2009-0533}","VERIZON/NEW ENGLAND TELEPHONE & TELEGRAPH COMPANY","Verizon Communications",
"{01-2004-0014}","VERIZON/NEW ENGLAND TELEPHONE & TELEGRAPH CO","Verizon Communications",
"{02-2009-2020}","Verizon, New York, Inc.","Verizon Communications",
"{01-2004-0005}","VERIZON NEW ENGLAND INC","Verizon Communications",
"{01-2001-0121}","VERIZON NEW ENGLAND","Verizon Communications",
"{09-2004-0357}","Varian Medical Systems","Varian Medical Systems",
"{09-2004-0357}","Varian Medical Systems","Varian Medical Systems",
"{02-2009-2006}","Vanderbilt University","Vanderbilt University",
"{06-2007-4883}","Valero Refining Texas","Valero Energy",
"{09-2005-0208}","Valero Refining Company - California","Valero Energy",
"{02-2002-0004}","Valero Refining Co., NJ","Valero Energy",
"{05-2005-7981}","VALERO LIMA REFINERY","Valero Energy",
"{08-2002-0042,02-2002-0004}","VALERO ENERGY CORPORATION","Valero Energy",
"{04-2004-9006}","VA ADMINISTRATION SUPPLY DEPOT","US Dept of Veterans Affairs",
"{03-2004-0411}","V IACOM, INC.","Viacom Inc","National Amusements Inc"
"{09-2004-0357}","USX Corporation","USX Corp",
"{04-2002-9064}","USX CORPORATION","USX Corp",
"{04-2001-9049}","USX CORP.","USX Corp",
"{09-2004-0357}","US Steel","US Steel","USX Corp"
"{09-2004-0357}","US Steel","US Steel","USX Corp"
"{04-2001-9049}","US STEEL","US Steel","USX Corp"
"{04-2001-9049}","US STEEL","US Steel","USX Corp"
"{09-2002-0174}","US Postal Service","US Postal Service",
"{09-2002-0174}","US Postal Service","US Postal Service",
"{09-2002-0174,09-1990-2500}","US Navy","US Navy","US Dept of Defense"
"{09-2002-0174,09-1990-2500}","US Navy","US Navy","US Dept of Defense"
"{07-2007-0245}","US NAVY","US Navy","US Dept of Defense"
"{07-2007-0245}","US NAVY","US Navy","US Dept of Defense"
"{01-2007-0507}","US DEPARTMENT OF TRANSPORTATION","US Dept of Transportation",
"{01-2007-0507}","US DEPARTMENT OF THE NAVY","US Navy","US Dept of Defense"
"{06-2005-1701}","US Department of Energy (Los Alamos National Labs)","US Dept of Energy",
"{01-2007-0507}","US ARMY FOR DEVENS RFTA","US Army","US Dept of Defense"
"{01-2007-0507}","US ARMY FOR DEVENS RFTA","US Army","US Dept of Defense"
"{09-1993-2501,09-2002-0174}","US Air Force","US Air Force","US Dept of Defense"
"{09-2002-0174,09-1993-2501}","US Air Force","US Air Force","US Dept of Defense"
"{01-2007-0507}","US AIR FORCE","US Air Force","US Dept of Defense"
"{01-2007-0507}","US AIR FORCE","US Air Force","US Dept of Defense"
"{04-2003-9004}","URS CORPORATION","URS Corp",
"{04-2006-3758}","URS CORP.","URS Corp",
"{01-2006-0203}","UPS","United Parcel Service",
"{02-2007-2006,02-2008-2011}","UOP LLC","UOP LLC","Honeywell International"
"{01-2007-0507}","UNTIED STATES POSTAL SERVICE","US Postal Service",
"{02-2009-2006}","University Of Tennessee","University of Tennessee",
"{02-2009-2006}","University of Rhode Island","University of Rhode Island",
"{01-2008-0510}","UNIVERSITY OF RHODE ISLAND","University of Rhode Island",
"{07-2001-0304}","UNIVERSITY OF PENNSYLVANIA","University of Pennsylvania",
"{04-2005-9033}","UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL","University of North Carolina",
"{02-2009-2006}","University of North Carolina","University of North Carolina",
"{04-2005-9033}","UNIVERSITY OF NORTH CAROLINA","University of North Carolina",
"{01-2001-0121}","UNIVERSITY OF NEW HAMPSHIRE","University of New Hampshire",
"{07-2005-0137}","UNIVERSITY OF NEBRASKA","University of Nebraska",
"{02-2008-2011,02-2007-2006}","University of Minnesota","University of Minnesota",
"{02-2009-2006}","University of Maryland","University of Maryland",
"{01-2009-0533,01-2004-0014,01-2001-0121}","UNIVERSITY OF MAINE SYSTEM","University of Maine",
"{02-2009-2006}","University of Illinois","University of Illinois",
"{02-2009-2006}","University of Florida","University of Florida",
"{06-2005-1734}","University of California (Los Alamos National Lab)","Los Alamos National Lab","University of California"
"{02-2009-2006}","University of California","University of California",
"{02-2009-2006}","University of Arizona","University of Arizona",
"{09-2006-0081}","Universal Studios, Inc","Universal Studios","Vivendi Universal"
"{02-2004-0006,02-2007-2006,02-2008-2011,05-2007-0832}","United Technologies Corporation","United Technologies",
"{05-2005-0626,01-2009-5555,04-2004-3757,05-2009-1019}","UNITED TECHNOLOGIES CORPORATION","United Technologies",
"{02-2003-2012}","United Technologies Corp.","United Technologies",
"{01-2009-0528}","UNITED TECHNOLOGIES CORP","United Technologies",
"{04-2009-9031}","UNITED TECHNOLOGIES COMPANY","United Technologies",
"{05-2005-0635}","UNITED TECHNOLOGIES AUTOMOVTIVE, INC","United Technologies",
"{07-2001-0304}","UNITED TECHNOLOGIES AUTOMOTIVE","United Technologies",
"{09-2004-0357}","United Technologies","United Technologies",
"{05-2007-0832}","United States Steel Corporation","US Steel","USX Corp"
"{05-2006-0738,04-2002-9064}","UNITED STATES STEEL CORPORATION","US Steel","USX Corp"
"{02-2009-2006}","United States Steel Corp.","US Steel","USX Corp"
"{04-2006-3758}","UNITED STATES POSTAL SERVICE","US Postal Service",
"{09-2001-0159}","United States Navy","US Navy","US Dept of Defense"
"{03-2004-0303}","UNITED STATES NAVY","US Navy","US Dept of Defense"
"{09-2003-0114,09-2007-0003}","United States General Services Administration","General Services Administration",
"{09-2009-2526}","United States Environmental Protection Agency","Environmental Protection Agency",
"{09-2009-2526}","United States Department of Veterans Affairs","US Dept of Veterans Affairs",
"{09-2004-0327}","United States Department of the Army","US Army","US Dept of Defense"
"{03-2007-0213}","UNITED STATES DEPARTMENT OF THE ARMY","US Army","US Dept of Defense"
"{09-2009-2526}","United States Department of Interior","US Dept of the Interior",
"{01-2008-0503}","UNITED STATES DEPARTMENT OF ENERGY","US Dept of Energy",
"{07-2003-0020}","UNITED STATES DEPARTMENT OF DEFENSE","US Dept of Defense",
"{09-2009-2526}","United States Coast Guard","US Coast Guard","US Dept of Homeland Security"
"{04-2006-3758}","UNITED STATES ARMY CORPS OF ENGINEERS","US Army Corps of Engineers","US Dept of Defense"
"{01-2008-0503,04-2006-3758}","UNITED STATES ARMY","US Army","US Dept of Defense"
"{04-2006-3758}","UNITED STATES AIR FORCE","US Air Force","US Dept of Defense"
"{04-2003-9004}","UNITED PARCEL SERVICE, INC. (UPS)","United Parcel Service",
"{04-2006-3758}","UNITED PARCEL SERVICE, INC.","United Parcel Service",
"{04-2003-3504}","UNITED PARCEL SERVICE (UPS), INC. AN OHIO CORP.","United Parcel Service",
"{09-2003-0225}","United Parcel Service","United Parcel Service",
"{01-2007-0507,04-2004-3751}","UNITED PARCEL SERVICE","United Parcel Service",
"{04-2005-3777}","UNITED DEFENSE, L.P.","United Defense","Carlyle Group"
"{01-2001-0165}","UNITED AIRLINES INC","United Airlines",
"{09-2001-0029}","UNITED AIRLINES","United Airlines",
"{04-2002-3753}","United Air Lines, Inc.","United Airlines",
"{03-2001-0427,05-2003-0405}","UNISYS CORPORATION","Unisys Corp",
"{09-2004-0357}","Unisys","Unisys Corp",
"{05-2005-0635}","UNIROYAL INC.","Uniroyal Inc","Michelin North America"
"{04-2003-3504}","UNIROYAL GOODRICH TIRE CO.","Unifoyal Goodrich Tire","Michelin North America"
"{04-2002-9064}","UNIROYAL CHEMICAL COMPANY, INC.","Uniroyal Chemical","Michelin North America"
"{09-2001-0149}","UNION PACIFIC RAILROAD, ET AL.","Union Pacific Corp",
"{08-2007-0142,09-2003-0101,09-2002-0183,09-2006-0228,09-2006-0017,08-2005-0083}","Union Pacific Railroad Company","Union Pacific Corp",
"{07-2005-0193,05-2009-1016}","UNION PACIFIC RAILROAD COMPANY","Union Pacific Corp",
"{09-2006-0265,08-2003-0048}","Union Pacific Railroad","Union Pacific Corp",
"{10-2009-0082,05-2002-0093}","UNION PACIFIC RAILROAD","Union Pacific Corp",
"{08-2004-0058}","Union Pacific","Union Pacific Corp",
"{09-2002-0183,09-2009-2508}","Union Oil Company of California","Unocal Corp","Chevron Corp"
"{04-2007-3759,07-2004-0256,04-2001-3754,03-2001-0427}","UNION OIL COMPANY OF CALIFORNIA","Unocal Corp","Chevron Corp"
"{01-2001-0121}","UNION OIL CO","Unocal Corp","Chevron Corp"
"{03-2004-0087}","UNION CARBIDE CORPORATION/DOW CHEMICAL COMPANY","Union Carbide","Dow Chemical"
"{02-2004-0006,02-2009-2020,02-2008-2011,02-2007-2006}","Union Carbide Corporation","Union Carbide","Dow Chemical"
"{05-2003-0405,03-2004-0087,04-2004-9006,03-2004-0411,02-2005-0016}","UNION CARBIDE CORPORATION","Union Carbide","Dow Chemical"
"{02-2005-0014}","Union Carbide Corp.","Union Carbide","Dow Chemical"
"{04-2002-9001}","UNION CARBIDE CORP.","Union Carbide","Dow Chemical"
"{02-2001-2001}","UNION CARBIDE CORP","Union Carbide","Dow Chemical"
"{06-2004-0904}","Union Carbide","Union Carbide","Dow Chemical"
"{05-2004-0542}","UNION CAMP CORPORATION","Union Camp Corp",
"{09-2006-0081}","Union Bank of California","Union Bank of California","UnionBanCal Corp"
"{09-2007-0073}","U.S. Navy","US Navy","US Dept of Defense"
"{04-2006-3797}","U.S. NAVY","US Navy","US Dept of Defense"
"{04-2004-9006}","U.S. NAVAL HOSPITAL","US Naval Hospital","US Dept of Defense"
"{04-2004-9006}","U.S. MILITARY ACADEMY","US Military Academy","US Dept of Defense"
"{04-2006-3756}","U.S. MARINE CORPS RECRUIT DEPOT","US Marine Corps","US Dept of Defense"
"{02-2006-0027}","U.S. General Services Administration","General Services Administration",
"{04-2002-9062}","U.S. GENERAL SERVICES ADMINISTRATION","General Services Administration",
"{10-2002-0175}","U.S. Fish and Wildlife Service","US Fish & Wildlife Service","US Dept of the Interior"
"{04-2004-9006}","U.S. EPA, REGION 4","Environmental Protection Agency",
"{04-2004-9006}","U.S. EPA, REGION 3, DRAKE CHEMICAL","Environmental Protection Agency",
"{04-2004-9006}","U.S. EPA, CHEMICAL COMMODOTIES","Environmental Protection Agency",
"{04-2004-9006}","U.S. ENVIRONMENTAL PROTECTION AGENCY, REGION 2","Environmental Protection Agency",
"{04-2004-9006}","U.S. ENVIRONMENTAL PROTECTION AGENCY REGION 3","Environmental Protection Agency",
"{02-2005-0014}","U.S. Dept. of Defense","US Dept of Defense",
"{02-2006-0027}","U.S. Dept of Treasury","US Dept of the Treasury",
"{02-2006-0027}","U.S. Dept of Defense","US Dept of Defense",
"{02-2006-0027}","U.S. Dept of Commerce","US Dept of Commerce",
"{05-2002-0373}","U.S. DEPARTMETN OF TREASURY","US Dept of the Treasury",
"{04-2008-5250,03-2001-0427}","U.S. DEPARTMENT OF VETERANS AFFAIRS","US Dept of Veterans Affairs",
"{02-2003-0018}","U.S. Department of Treasury","US Dept of the Treasury",
"{04-2005-3766,04-1991-9902,03-2001-0427,04-2006-3756,05-2003-0405}","U.S. DEPARTMENT OF THE NAVY","US Navy","US Dept of Defense"
"{04-2003-3504}","U.S. DEPARTMENT OF THE ARMY (MS NATIONAL GUARD)","US Army","US Dept of Defense"
"{02-2009-7502}","U.S. Department of the Army","US Army","US Dept of Defense"
"{04-2001-3750,04-2008-3766,04-2004-3758}","U.S. DEPARTMENT OF THE ARMY","US Army","US Dept of Defense"
"{03-2001-0427,04-2007-4011,04-2001-3750,04-2003-9004}","U.S. DEPARTMENT OF THE AIR FORCE","US Air Force","US Dept of Defense"
"{04-1991-9900}","U.S. DEPARTMENT OF NAVY","US Navy","US Dept of Defense"
"{04-2003-3504}","U.S. DEPARTMENT OF LABOR","US Dept of Labor",
"{04-2002-5771}","U.S. Department of Interior -National Park Service","National Park Service","US Dept of the Interior"
"{03-2001-0427}","U.S. DEPARTMENT OF INTERIOR","US Dept of the Interior",
"{02-2003-0018}","U.S. Department of General Services Administration","General Services Administration",
"{04-2008-3766,04-2004-3758}","U.S. DEPARTMENT OF ENERGY","US Dept of Energy",
"{02-2003-0018}","U.S. Department of Defense","US Dept of Defense",
"{05-2002-0373,04-2002-9062}","U.S. DEPARTMENT OF DEFENSE","US Dept of Defense",
"{02-2003-0018}","U.S. Department of Commerce","US Dept of Commerce",
"{05-2002-0373}","U.S. DEPARTMENT OF COMMERCE","US Dept of Commerce",
"{03-2001-0427,04-2004-9006}","U.S. DEPARTMENT OF AGRICULTURE","US Dept of Agriculture",
"{04-2001-3750}","U.S. DEFENSE REUTILITZATION & MARKETING","US Dept of Defense",
"{05-2006-0738}","U.S. DEFENSE LOGISTICS AGENCY, DEFENSE FUEL SUPPLY","US Defense Logistics Agency","US Dept of Defense"
"{04-2003-3504}","U.S. DEFENSE LOGISTICS AGENCY","US Defense Logistics Agency","US Dept of Defense"
"{03-2001-0427}","U.S. COAST GUARD YARD","US Coast Guard","US Dept of Homeland Security"
"{04-2004-9006}","U.S. COAST GUARD SUPPORT CENTER","US Coast Guard","US Dept of Homeland Security"
"{04-2004-9006}","U.S. COAST GUARD BASE - CHARLESTON","US Coast Guard","US Dept of Homeland Security"
"{03-2008-0097,04-2001-9015}","U.S. COAST GUARD","US Coast Guard","US Dept of Homeland Security"
"{07-2003-0184}","U.S. BORAX, INC","US Borax","Rio Tinto Group"
"{10-2009-0081}","U.S. BANK NATIONAL ASSOCIATION (TRUSTEE)","US Bank","US Bancorp"
"{04-2003-9004}","U.S. ARMY CORPS OF ENGINEERS (TENNESSEE TOMBIGGEE","US Army Corps of Engineers","US Dept of Defense"
"{04-2003-3504,04-2006-3797}","U.S. ARMY CORPS OF ENGINEERS","US Army Corps of Engineers","US Dept of Defense"
"{03-2001-0427}","U.S. ARMY CORPS OF ENGINEER","US Army Corps of Engineers","US Dept of Defense"
"{04-2003-9004}","U.S. ARMY AVIATION CENTER & FORT RUCKER","US Army","US Dept of Defense"
"{04-2003-9004}","U.S. ARMY - FORT BENNING","US Army","US Dept of Defense"
"{02-2004-0025}","U.S. Army","US Army","US Dept of Defense"
"{04-2006-3797}","U.S. ARMY","US Army","US Dept of Defense"
"{04-2002-3753}","U.S. Airways, Inc.","US Airways",
"{09-2007-0115}","U.S. Air Force","US Air Force","US Dept of Defense"
"{04-2006-3797}","U.S. AIR FORCE","US Air Force","US Dept of Defense"
"{06-2003-2767}","U. S. Dept. of Interior","US Dept of the Interior",
"{03-2001-0336}","U S GENERAL SERVICES ADMINISTRATOR","General Services Administration",
"{01-2004-0014}","U S DEPT OF ARMY","US Army","US Dept of Defense"
"{01-2004-0014}","U S DEFENSE LOGISTICS AGENCY","US Defense Logistics Agency","US Dept of Defense"
"{01-2004-0014}","U S COAST GUARD","US Coast Guard","US Dept of Homeland Security"
"{01-2004-0014}","U S AIR FORCE","US Air Force","US Dept of Defense"
"{04-2003-3504}","TYSON FOODS, INC.","Tyson Foods",
"{02-2005-0019}","Tyco International (US), Inc.","Tyco International",
"{05-2003-0405}","TYCO INTERNATIONAL (US) INC. (LUDLOW CORPORATION)","Tyco International",
"{01-2009-5555}","TYCO HEALTHCARE GROUP LP","Tyco Healthcare","Tyco International"
"{03-2001-0427}","TYCO ELECTRONICS CORPORATION","Tyco Electronics","Tyco International"
"{09-2002-0174}","Tyco Electronics","Tyco Electronics","Tyco International"
"{04-2004-9006}","TYCO ELECTRONICS","Tyco Electronics","Tyco International"
"{06-2006-2101}","TXDOT","Texas Dept of Transporation","State of Texas"
"{09-2006-0081}","Twenieth Century Fox Film Corporation","20th Century Fox","News Corp"
"{09-2002-0035,04-2002-3753}","TRW, Inc.","TRW Inc",
"{07-2001-0304}","TRW VALVE DIVISION","TRW Inc",
"{09-2002-0174}","TRW Inc.","TRW Inc",
"{05-2003-0405}","TRW INC.","TRW Inc",
"{03-2001-0427,01-2002-0159,07-2001-0304}","TRW INC","TRW Inc",
"{01-2004-0005}","TRW AUTOMOTIVE  U S LLC","TRW Automotive","TRW Inc"
"{01-2004-0005}","TRW AUTOMOTIVE  U S LLC","TRW Inc",
"{04-2004-9006}","TRW","TRW Inc",
"{04-2005-9033}","TRUSTEE OF THE UNIVERSITY OF PENNSYLVANIA","University of Pennsylvania",
"{04-2003-3504}","TRUMAN ARNOLD COMPANIES","Truman Arnold Companies",
"{07-2002-0166}","TRUE MANUFACTURING, CO","True Manufacturing",
"{05-2001-0401}","TRUE MANUFACTURING CO., INC.","True Manufacturing",
"{04-2004-3751,09-2007-0141}","TROPICANA PRODUCTS, INC.","Tropicana Products","PepsiCo Inc"
"{01-2007-0507}","TRIUMVIRATE ENVIRONMENTAL INC","Triumvirate Environmental",
"{02-2008-2011}","TRANE USA INC.","Trane Inc",
"{03-2001-0427}","TRANE COMPANY (THE)","Trane Inc",
"{04-2007-3759}","TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AME","Toyota Motor Corp",
"{09-2004-0357}","Toyota Motor Corporation","Toyota Motor Corp",
"{06-2005-3408}","Total Petrochemicals USA, Inc.","TOTAL Petrochemicals",
"{10-2003-0054}","Todd Pacific Shipyard Corporation","Todd Pacific Shipyards Corp",
"{04-2003-3504}","THYSSENKRUPP ELEVATOR MANUFACTURING, INC.","ThyssenKrupp Elevator","ThyssenKrupp USA"
"{04-2006-3758,04-2003-9004}","THYSSENKRUPP ELEVATOR CORP.","ThyssenKrupp Elevator","ThyssenKrupp USA"
"{02-2009-2006}","ThyssenKrupp Budd Co.","ThyssenKrupp Budd Co","ThyssenKrupp USA"
"{04-2002-3753}","Thyseen Elevator Company of Delaware","ThyssenKrupp Elevator","ThyssenKrupp USA"
"{05-2003-0405}","THE TIMKEN COMPANY","Timken Co",
"{05-2003-0405}","THE SHERWIN-WILLIAMS CORPORATION","Sherwin-Williams Co",
"{02-2005-0016}","THE SHERWIN-WILLIAMS COMPANY","Sherwin-Williams Co",
"{05-2006-0738}","THE SHERWIN WILLIAMS1 COMPANY","Sherwin-Williams Co",
"{05-2007-0832}","The Sherwin Williams Company","Sherwin-Williams Co",
"{05-2009-1016}","THE PROCTER & GAMBLE PAPER PRODUCTS CO.","Procter & Gamble Paper Products","Procter & Gamble"
"{05-2009-1001}","THE PEOPLES GAS LIGHT AND COKE COMPANY","Peoples Gas",
"{05-2003-0441}","THE MOREY CORPORATION","Morey Corp",
"{09-2003-0164}","The Home Depot Inc.","Home Depot",
"{05-2004-0523}","THE GOODYEAR TIRE & RUBBER COMPANY","Goodyear Tire & Rubber",
"{02-2008-2011}","The Dow Chemical Company","Dow Chemical",
"{05-2007-0823,05-2007-0828,05-2007-0827}","THE DOW CHEMICAL COMPANY","Dow Chemical",
"{02-2009-2006}","The Dow Chemical Co.","Dow Chemical",
"{09-2004-0357}","The Dial Corporation","Dial Corp","Henkel KGaA"
"{09-2006-0082}","The Coca Cola Company","Coca-Cola Co",
"{09-2004-0357}","The Clorox Company","Clorox Co",
"{02-2010-9201}","The City of New York","City of New York, NY",
"{02-2009-2006,03-2007-0033}","The Boeing Company","Boeing Co",
