ORIGINAL,KEVINS,OURS
principal_place_state,principal_place_state,place_state
non_fed_funding_amount,non_fed_funding_amount,amount_nonfederal
recipient_type,recipient_type,recipient_type
rec_flag,rec_flag,record_flag
recipient_zip,recipient_zip,recipient_zipcode
fiscal_year,fiscal_year,fiscal_year
uri,uri,uri
record_type,record_type,record_type
cfda_program_num,cfda_program_num,cfda_program_number
ending_date,ending_date,
recipient_state_name,,recipient_state
fyq_correction,fyq_correction,
transaction_status,transaction_status,
principal_place_cc,principal_place_cc,place_city
face_loan_guran,face_loan_guran,amount_loan
principal_place_cd,principal_place_cd,place_district
total_funding_amount,total_funding_amount,amount_total
orig_sub_guran,orig_sub_guran,amount_subsidy_cost
principal_place_code,principal_place_code,place_code
agency_code,agency_code,agency_code
recipient_county_code,recipient_county_code,recipient_county_code
assistance_type,assistance_type,assistance_type
recipient_country_code,recipient_country_code,recipient_country_code
maj_agency_cat,maj_agency_cat,agency_category
starting_date,starting_date,
record_id,,id
business_identifier,,bfi
recipient_city_code,recipient_city_code,recipient_city_code
duns_conf_code,duns_conf_code,
project_description,project_description,project_description
progsrc_acnt_code,progsrc_acnt_code,psta_account_code
duns_no,duns_no,recipient_duns
recip_id,,recipient_id
recipient_county_name,,recipient_county
cfda_program_title,cfda_program_title,cfda_program_title
recip_cat_type,recip_cat_type,recipient_category
sai_number,sai_number,state_application_id
obligation_action_date,obligation_action_date,action_date
agency_name,agency_name,agency_name
fyq,fyq,
progsrc_agen_code,progsrc_agen_code,psta_agency_code
principal_place_country_code,,place_country_code
federal_award_mod,federal_award_mod,federal_award_mod
principal_place_state_code,principal_place_state_code,place_state_code
recipient_name,recipient_name,recipient_name
receip_addr2,receip_addr2,recipient_address2
receip_addr3,receip_addr3,recipient_address3
receip_addr1,receip_addr1,recipient_address1
recipient_cd,recipient_cd,recipient_district
recipient_city_name,recipient_city_name,recipient_city
federal_award_id,federal_award_id,federal_award_id
fed_funding_amount,fed_funding_amount,amount_federal
recipient_state_code,recipient_state_code,recipient_state_code
unique_transaction_id,unique_transaction_id,
parent_duns_no,,recipient_parent_duns
progsrc_subacnt_code,progsrc_subacnt_code,psta_subaccount_code
asst_cat_type,asst_cat_type,assistance_category
action_type,action_type,action_type
correction_late_ind,correction_late_ind,correction
principal_place_zip,principal_place_zip,place_zipcode
