action_date|obligation_action_date
agency_category|maj_agency_cat
amount_federal|fed_funding_amount
amount_loan|face_loan_guran
amount_nonfederal|non_fed_funding_amount
amount_subsidy_cost|orig_sub_guran
amount_total|total_funding_amount
assistance_category|asst_cat_type
bfi|business_identifier
cfda_program_number|cfda_program_num
correction|correction_late_ind
place_city|principal_place_cc
place_code|principal_place_code
place_country_code|principal_place_country_code
place_district|principal_place_cd
place_state|principal_place_state
place_state_code|principal_place_state_code
place_zipcode|principal_place_zip
psta_account_code|progsrc_acnt_code
psta_agency_code|progsrc_agen_code
psta_subaccount_code|progsrc_subacnt_code
recipient_address1|receip_addr1
recipient_address2|receip_addr2
recipient_address3|receip_addr3
recipient_category|recip_cat_type
recipient_city|recipient_city_name
recipient_county|recipient_county_name
recipient_district|recipient_cd
recipient_duns|duns_no
recipient_id|recip_id
recipient_parent_duns|parent_duns_no
recipient_state|recipient_state_name
recipient_zipcode|recipient_zip
record_flag|rec_flag
state_application_id|sai_number
