D000000064,1834,National Education Assn
D000023641,4103,Pechanga Band of Mission Indians
D000028281,2009,Penn National Gaming
D000023639,1771,Morongo Band of Mission Indians
D000000077,2351,Service Employees International Union
D000000062,1823,National Assn of Realtors
D000044959,13549,Lakes Entertainment
,16648,TRIBES FOR FAIR PLAY NO ON 94 95 96 & 97
D000021806,0,ActBlue
D000023655,57,Agua Caliente Band of Cahuilla Indians
D000000061,3017,American Fedn of St/Cnty/Munic Employees
D000025062,652,Community Financial Services Assn
D000032655,11128,Clean Energy Fuels Corp
D000000290,2035,PG&E Corp
D000000239,885,Edison International
D000000069,898,Intl Brotherhood of Electrical Workers
,10093,ARIZONA COMMUNITY FINANCIAL SERVICES ASSOCIATION
D000000076,259,AT&T Inc
D000000074,3989,Laborers Union
D000045080,4102,Pala Band of Mission Indians
D000045236,4730,United Auburn Indian Community
D000000072,1020,United Food & Commercial Workers Union
D000000067,3068,Altria Group
D000025368,4807,CALIFORNIA DEMOCRATIC PARTY
D000000083,136,American Federation of Teachers
D000000116,142,American Hospital Assn                  
,14586,NO ON 8 EQUALITY CALIFORNIA
D000000120,4350,Plumbers/Pipefitters Union
D000021846,214,Apollo Group
D000000135,982,International Assn of Fire Fighters
D000021051,4969,Republican Governors Assn
D000000073,3307,Carpenters & Joiners Union
D000044646,5768,Ameristar Casinos
D000000105,17350,American Dental Assn                    
D000000591,2073,Planned Parenthood
,11400,COUNCIL OF ALASKA PRODUCERS
D000000139,4201,Operating Engineers Union
D000000066,2566,Teamsters Union
D000000101,14409,National Beer Wholesalers Assn
D000036698,8480,Pinnacle Entertainment
D000033126,4874,NORTH CAROLINA DEMOCRATIC PARTY
D000000092,2218,Reynolds American
,4905,OHIO HOUSE REPUBLICAN CAMPAIGN CMTE
D000000192,141,American Health Care Assn
D000023654,2538,Sycuan Band of the Kumeyaay Nation
D000000088,50,AFL-CIO
,4901,SENATE REPUBLICAN CAMPAIGN CMTE OF NEW YORK
D000000085,1130,Goldman Sachs
D000044796,4909,OHIO DEMOCRATIC PARTY
D000000461,644,Comcast Corp
D000000070,272,United Auto Workers
D000000103,3902,JPMorgan Chase & Co
D000000071,592,Citigroup Inc
,8677,REPUBLICAN STATE LEADERSHIP CMTE
D000000701,781,Democratic Governor's Assn              
D000024567,4806,Republican Party of California
D000030291,16355,Taubman Centers
D000000090,298,Bank of America
,11192,COALITION TO PROTECT CALIFORNIAS BUDGET
D000044672,10280,Bay Meadows Land Co
D000044967,7501,League of California Cities
D000000079,2741,Verizon Communications
D000000094,2612,Time Warner
D000000367,2772,Wal-Mart Stores
D000042510,207,Anheuser-Busch InBev
D000028670,4920,PENNSYLVANIA REPUBLICAN PARTY
D000000115,1725,Microsoft Corp
D000000113,904,EMILY's List
,11632,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY
,14160,MICHIGAN CATHOLIC CONFERENCE
,10229,BARBOUR FOR GOVERNOR
D000021908,3394,Chesapeake Energy
D000000097,2362,Sheet Metal Workers Union
D000044707,3286,Calif Correctional Peace Officers Assn
D000044800,4947,Democratic Party of Virginia
D000000081,2710,United Parcel Service
D000000125,1084,General Electric
D000044798,4924,PENNSYLVANIA DEMOCRATIC PARTY
D000000197,255,Associated General Contractors
D000000075,650,Communications Workers of America
D000026546,7134,Humane Society of the US
D000000181,13117,Indep Insurance Agents & Brokers/America
D000000288,1517,League of Conservation Voters
D000000158,1276,Human Rights Campaign
D000000015,566,Chevron Corp
,4923,HOUSE DEMOCRATIC CAMPAIGN CMTE OF PENNSYLVANIA
,4948,VIRGINIA SENATE DEMOCRATIC CAUCUS
D000022131,1828,National Cable & Telecommunications Assn
D000022184,15038,Perry Homes
D000000138,2034,Pfizer Inc
,4890,SENATE DEMOCRATIC MAJORITY OF NEW JERSEY
,4908,HOUSE DEMOCRATIC CAUCUS FUND OF OHIO
D000000194,160,American Optometric Assn
,4921,SENATE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA
D000000106,1769,Morgan Stanley
D000000140,1352,Ironworkers Union
D000000659,2467,State Farm Insurance
D000000775,13304,John Templeton Foundation
,4919,HOUSE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA
D000000321,1039,FPL Group
D000036134,9195,Nature Conservancy
D000000087,0,American Bankers Assn
D000000086,1821,National Assn of Home Builders
,4907,REPUBLICAN SENATE CAMPAIGN CMTE OF OHIO
D000000195,435,Burlington Northern Santa Fe Corp
D000021832,133,American Farm Bureau
D000000065,109,American Assn for Justice
D000033592,958,Farmers Insurance
D000025419,4956,WASHINGTON STATE DEMOCRATIC PARTY
D000000104,1559,Lockheed Martin
D000000187,253,Associated Builders & Contractors
D000000089,3627,FedEx Corp
D000000153,14425,National Rural Electric Cooperative Assn
D000026676,4825,IOWA DEMOCRATIC PARTY
D000000186,1457,Koch Industries
,4834,INDIANA HOUSE DEMOCRATIC CAUCUS
D000000109,376,Blue Cross/Blue Shield
D000037046,1009,Republican Party of Florida
D000000131,773,Deloitte Touche Tohmatsu
D000000100,385,Boeing Co
D000000118,2675,Union Pacific Corp
D000000415,2344,Sempra Energy
,14434,NEA AFT
D000025035,11232,COLORADANS FOR ECONOMIC GROWTH
D000020995,16706,UBS AG
D000000124,2104,PricewaterhouseCoopers
D000044795,4830,Democratic Party of Illinois
,4675,TEXANS FOR LAWSUIT REFORM
D000000334,1265,Honeywell International
D000000078,4039,Machinists/Aerospace Workers Union
D000036441,14851,Overstock.Com
D000000080,0,National Auto Dealers Assn
D000000250,4226,Painters & Allied Trades Union
D000044923,7123,Indiana House Republican Campaign Cmte
D000045216,16448,Texas Democratic Trust
D000031506,5763,American Sterling
,12953,HOUSE DEMOCRATIC CAUCUS
D000021573,4752,Wachovia Corp
D000000173,17326,American Nurses Assn                    
D000027382,1629,Marijuana Policy Project
D000000108,1710,Merrill Lynch
D000045201,16210,Stockbridge Real Estate Funds
D000000129,946,Exxon Mobil
D000000406,16751,University of California
,9293,US TERM LIMITS
,15825,SCHWARZENEGGERS CALIFORNIA DREAM TEAM
D000045021,14347,Moving Virginia Forward
D000044988,7618,Magna Entertainment
,4829,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS
D000000136,720,Credit Union National Assn
,15569,ROBERT WILSON ASSOCIATES
D000000368,3615,Exelon Corp
D000000166,900,Eli Lilly & Co
D000000133,1116,GlaxoSmithKline
D000045134,4824,Republican Party of Iowa
D000000162,3053,"Akin, Gump et al"
D000037049,4906,Republican Party of Ohio
D000000285,1806,National Air Traffic Controllers Assn
D000000117,62,Air Line Pilots Assn
D000000763,608,Club for Growth
D000025380,4833,Democratic Party of Indiana
D000031473,117,American Civil Liberties Union
D000000249,1885,New York Life Insurance
D000000096,7991,Natl Assn/Insurance & Financial Advisors
D000000199,5761,American Society of Anesthesiologists
D000000098,931,Ernst & Young
,8535,POLICE BENEVOLENT ASSOCIATION
D000000303,668,ConocoPhillips
D000000348,2692,UnitedHealth Group
D000000134,17352,Credit Suisse Group
D000000632,95,Allstate Insurance
D000019743,2818,Wells Fargo
D000000170,1905,Northrop Grumman
D000021569,812,DLA Piper
D000037048,14243,MISSISSIPPI REPUBLICAN PARTY
D000025400,4904,NEW YORK STATE DEMOCRATIC PARTY
,4862,DFL HOUSE CAUCUS OF MINNESOTA
D000000126,3077,AFLAC Inc
D000020386,7102,HOME BUILDERS ASSOC OF CENTRAL ARIZONA
D000000504,4265,Pharmaceutical Rsrch & Mfrs of America
D000000128,2779,Walt Disney Co                          
D000033869,10477,Friends of John Boehner
D000000175,2175,Raytheon Co
,11235,COLORADO BUSINESSES FOR SENSIBLE SOLUTIONS
D000045111,15157,Poizner Family Trust
D000000386,7313,Johnson & Johnson
D000026698,1355,Isle of Capri Casinos
D000000259,2381,Sierra Club
D000021031,4965,Democratic Legislative Campaign Cmte
D000000306,16041,Soros Fund Management
D000044955,13474,Knights of Columbus
D000025398,4889,NEW JERSEY DEMOCRATIC PARTY
D000000391,194,Amgen Inc
D000000121,138,American Financial Group
D000022008,12521,Google Inc
D000000107,2691,United Transportation Union
D000022032,0,Hoyer for Congress
D000000275,1702,Merck & Co
D000025384,4842,Democratic Party of Kentucky
D000000174,1524,Lehman Brothers
D000000344,1147,Greenberg Traurig LLP
D000045296,0,KPMG International
D000000445,3840,HCA Inc
D000043112,257,AstraZeneca PLC
D000022303,2725,Valero Energy
D000000200,2021,PepsiCo Inc
D000000573,130,American Electric Power
D000000544,12741,Harvard University
D000045140,4944,Republican Party of Virginia
,11752,DOMINION LEADERSHIP TRUST
D000000335,3480,Dominion Resources
D000045133,4828,ILLINOIS REPUBLICAN PARTY
D000044657,10085,Arcus Foundation
D000000165,0,General Dynamics
,12346,FUTURE PAC HOUSE BUILDERS
D000000477,856,Duke Energy
,13852,"MADIGAN, FRIENDS OF MICHAEL J"
D000000102,2471,United Steelworkers
D000021767,0,National Amusements Inc
D000036253,4872,NORTH CAROLINA REPUBLICAN PARTY
D000000383,14,Abbott Laboratories
D000000219,5750,American Crystal Sugar
,15005,PENNSYLVANIA DEMOCRATIC STATE SENATE CAMPAIGN CMTE
D000021873,0,Blackstone Group
D000000068,5757,American Medical Assn
D000000374,590,Cisco Systems
D000000662,0,WPP Group
D000000351,14564,Newsweb Corp
D000022176,14953,Patton Boggs LLP
D000000302,3260,Bricklayers Union
D000000091,3250,BP
D000000203,101,Amalgamated Transit Union
D000028642,4832,INDIANA REPUBLICAN PARTY
D000000193,1715,MGM Mirage
D000000716,1233,Hewlett-Packard
,14757,OLYMPIA GAMING MAINE LLC
D000025362,4800,ALABAMA DEMOCRATIC PARTY
D000044801,11660,Denver Foundation
D000000466,6032,Blank Rome LLP
D000000310,8591,Property Casualty Insurers Assn/America
D000021773,2636,Travelers Companies
D000000233,0,Aircraft Owners & Pilots Assn
D000000143,167,American Postal Workers Union
,11456,"CROSS, CITIZENS TO ELECT TOM"
,9602,AMERICA AT ITS BEST
D000000212,3412,Coca-Cola Co
D000000243,8914,"Skadden, Arps et al"
D000000122,4745,UST Inc
D000000084,1530,National Assn of Letter Carriers
D000000707,1540,Liberty Mutual Insurance
D000000330,1259,Holland & Knight
D000000156,2150,Qwest Communications
,16884,VIRGINIA SENATE REPUBLICAN LEADERSHIP TRUST
D000021987,1017,FMR Corp
D000000261,1306,Independent Community Bankers of America
D000000082,1854,National Rifle Assn                     
,4902,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW YORK
D000000218,3245,Boilermakers Union
D000000430,4761,Weyerhaeuser Co
D000029616,2722,USAA
D000000459,198,Anadarko Petroleum
D000021884,445,Cablevision Systems
D000000766,7398,K&L Gates
D000000111,196,Amway/Alticor Inc
D000000150,1852,National Restaurant Assn
,17021,"WATSON, CITIZENS FOR FRANK"
D000033881,0,Friends of Max Baucus
